Country,Sex,Age,Exposure,Deaths,Baseline,Excess,Excess_lp,Excess_up,Baseline_pos,Excess_pos,Excess_pos_lp,Excess_pos_up,Excess_epi,Excess_epi_up,Excess_epi_lp
Belgium,m,70,2322203.5071084895,1464,1116.9602701596289,347.0397298403712,144,544.05,1464,347.0397298403712,185,544.05,371.4429594876345,524.025,210
Belgium,m,75,1529825.6770015894,1663,1110.7130517197043,552.2869482802957,341,748.05,1663,552.2869482802957,357,748.05,559.0507831436195,732.05,372.97500000000014
Belgium,m,80,1189839.007597672,2437,1497.761277688449,939.2387223115511,699,1175,2437,939.2387223115511,719,1175,1091.4293655529812,1373,797.9750000000001
Belgium,m,85,703099.2356713437,2595,1637.80133755502,957.1986624449801,705.9250000000005,1200.0749999999998,2599.188386441947,961.3870488869272,743.9500000000003,1200.0749999999998,1040.7004952569255,1281.0749999999998,794.9500000000003
Belgium,m,90,311449.32472981873,2172,1169.0633536490304,1002.9366463509697,787.9500000000003,1215,2172,1002.9366463509697,787.9500000000003,1215,1482.2906901644108,1957.0249999999999,993.8750000000007
Belgium,m,All,51632943.226944126,13507,9075.428131499873,4431.571868500127,2317.600000000002,6379.25,13625.81508122786,4550.386949727987,3076.8250000000007,6380.25,5227.564994850558,6902.249999999999,3481.675000000002
Bulgaria,b,0,1879839.5113623966,34,54.52430374227946,-20.524303742279457,-58,12,54.52430374227946,0,0,14,7.870272124726554,13,1.9750000000001364
Bulgaria,b,5,2016679.424200176,10,12.677767135753157,-2.6777671357531574,-24,10,13.56437999754814,0.8866128617949842,0,10,0,0,0
Bulgaria,b,10,2224939.014196999,16,15.02807755976111,0.97192244023889,-20,16,19.007350937675586,3.9792733779144767,0,16,0,0,0
Bulgaria,b,15,1894289.7276160964,25,28.866580031501293,-3.866580031501294,-35,19,32.458449982370155,3.5918699508688627,0,19,0,0,0
Bulgaria,b,20,1793708.3880805536,32,29.386160618924404,2.6138393810755955,-27,26,34.80467272426112,5.41851210533671,0,26,0,0,0
Bulgaria,b,25,2336181.8618486626,33,34.06872807776271,-1.0687280777627066,-33.024999999999864,24,40.721495544135536,6.652767466372827,0,24,0,0,0
Bulgaria,b,30,2883036.6620622952,51,51.4462461521027,-0.4462461521027059,-41,33,57.703614783949405,6.257368631846697,0,33,0,0,0
Bulgaria,b,35,2858501.260426667,97,83.39800339618706,13.601996603812939,-33,56,100.9034556510432,17.505452254856138,0,56,10.187363348180916,17,2
Bulgaria,b,40,3205927.3491275506,165,143.09111273632485,21.908887263675158,-41,78,170.64783128791126,27.556718551586414,1,78,41.79934471547594,71,10
Bulgaria,b,45,3165752.6421161164,256,242.50755601886186,13.492443981138152,-65.07499999999959,87,262.17492019041003,19.667364171548165,0,87,18.327755042341686,31,4
Bulgaria,b,50,2860228.6353860167,406,342.6704366073674,63.32956339263263,-29.024999999999864,150,406,63.32956339263263,4.975000000000136,150,70.09717342166095,128,8.975000000000136
Bulgaria,b,55,2807604.458265587,569,557.3178096076945,11.682190392305486,-112,123.0499999999999,589.353703427555,32.03589381986056,1,123.0499999999999,50.46632677689328,89,10
Bulgaria,b,60,2802103.690485632,855,760.7516236295207,94.2483763704792,-52.024999999999864,227,859.9008239345043,99.14920030498348,7.975000000000136,227,241.0689704700202,419,42.975000000000136
Bulgaria,b,65,2729738.064590953,1240,1098.3090263407864,141.69097365921363,-30.04999999999967,302,1240,141.69097365921363,22.975000000000165,302,135.9618719718792,243,25.975000000000165
Bulgaria,b,70,2549553.9214005745,1667,1402.8262104332562,264.17378956674384,69,449.04999999999995,1667,264.17378956674384,72,449.04999999999995,504.2002971950533,849.05,131.97500000000014
Bulgaria,b,75,1717632.8865348622,1783,1541.1365996323166,241.86340036768348,33.975000000000136,433,1783,241.86340036768348,79.97500000000014,433,352.2530725539776,577.025,112.95000000000027
Bulgaria,b,80,1151305.1813740537,2003,1692.9758325145494,310.0241674854507,78.97500000000014,514.05,2003,310.0241674854507,113,514.05,383.0229184642256,590,150
Bulgaria,b,85,606736.7619487373,1900,1633.7485413017394,266.25145869826065,49,465,1913.038666535601,279.2901252338615,110,465,219.8534152227977,318,110
Bulgaria,b,90,196462.741490532,1160,788.8016354688214,371.19836453117864,206.97500000000014,519.025,1160,371.19836453117864,206.97500000000014,519.025,1335.7092278605373,2031.1,594.9250000000004
Bulgaria,b,All,41680222.18251446,12302,10513.53225100551,1788.4677489944897,-162.27499999999844,3543.1749999999997,12407.803668739243,1894.2714177337336,619.8750000000007,3545.1749999999997,3370.81800916777,5376.175,1205.7500000000014
Bulgaria,f,0,913353.3623664405,21,30.623341310282836,-9.623341310282836,-42,15,31.51942998263603,0.8960886723531942,0,15,5.8961962627881155,10,1
Bulgaria,f,5,980228.0901457954,9,10.80851733597566,-1.8085173359756601,-21,9,11.402130268454894,0.5936129324792325,0,9,0,0,0
Bulgaria,f,10,1081952.9820084847,9,9.530113804602953,-0.5301138046029534,-18,9,10.763220562727852,1.233106758124899,0,9,0,0,0
Bulgaria,f,15,916276.0744555752,12,13.857754615419685,-1.8577546154196853,-24,12,16.252473152799098,2.394718537379414,0,12,0,0,0
Bulgaria,f,20,865619.0971768451,15,11.879472389889854,3.1205276101101473,-16.024999999999864,15,15,3.1205276101101473,0,15,0,0,0
Bulgaria,f,25,1128705.3251572624,13,11.69464500185321,1.3053549981467893,-17,13,15.849182824043591,4.154537822190382,0,13,0,0,0
Bulgaria,f,30,1396588.191609133,19,18.329427479017475,0.670572520982526,-24,19,22.206896836159807,3.877469357142332,0,19,0,0,0
Bulgaria,f,35,1369654.9446840025,34,29.64233474969194,4.35766525030806,-26,28,35.94054282635509,6.29820807666315,0,28,0,0,0
Bulgaria,f,40,1555102.5592167655,57,53.59155768997888,3.4084423100211243,-39,37,61.85405683137532,8.262499141396441,0,37,0,0,0
Bulgaria,f,45,1541099.9867307078,85,70.67868879616256,14.321311203837435,-29.024999999999864,53,85,14.321311203837435,0,53,9.268273711057573,15,2
Bulgaria,f,50,1417306.8361294628,121,103.75621754226998,17.243782457730028,-35,64.02499999999995,123.28645461997723,19.530237077707262,0,64.02499999999995,9.800608434388533,18,0.9750000000001364
Bulgaria,f,55,1426263.7602224057,175,177.28986512973484,-2.2898651297348422,-72,61,188.61767970552665,11.327814575791802,0,61,30.775181810825504,51,8
Bulgaria,f,60,1484305.1299749948,308,266.7360253707977,41.26397462920231,-44,118,311.49754872915315,44.76152335835546,0,118,36.31062445171455,62,8
Bulgaria,f,65,1525949.7025205693,463,428.58279146553156,34.41720853446846,-75,133.02499999999995,463,34.41720853446846,0,133.02499999999995,0,0,0
Bulgaria,f,70,1499972.86888763,682,568.2330977767632,113.76690222323684,-10,232.02499999999995,682,113.76690222323684,12,232.02499999999995,175.03698112320131,313,24.950000000000273
Bulgaria,f,75,1059634.6517073477,859,763.213573455455,95.78642654454494,-55,233,865.8542251562159,102.64065170076086,28,233,164.68543728026097,279.025,43
Bulgaria,f,80,744466.9201372656,1129,970.6688738295942,158.33112617040584,-10,314.025,1136.4926347156363,165.82376088604218,34,314.025,146.97730629115367,252,34
Bulgaria,f,85,403391.0165480888,1136,1039.9260339605007,96.07396603949925,-83,258.025,1149.2474889444786,109.3214549839779,24,258.025,86.31772747825269,142.02499999999995,24
Bulgaria,f,90,130846.44859472231,762,535.1296217374705,226.87037826252947,100.92500000000041,344,762,226.87037826252947,100.95000000000027,344,731.6364666909295,1170.0249999999999,253.87500000000068
Bulgaria,f,All,21440717.9482735,5909,5114.171953440993,794.8280465590072,-539.1249999999993,1967.1249999999998,5987.78396515554,873.6120117145468,198.95000000000027,1967.1249999999998,1396.7048035345724,2312.075,399.8000000000011
Bulgaria,m,0,966486.1489959562,19,30.015965478116858,-11.015965478116858,-42.024999999999864,13,31.010265608645845,0.9943001305289894,0,13,0,0,0
Bulgaria,m,5,1036451.3340543807,7,8.18137796053765,-1.1813779605376513,-17.024999999999864,7,8.81888681844045,0.6375088579027983,0,7,0,0,0
Bulgaria,m,10,1142986.0321885138,13,11.393324779666008,1.6066752203339925,-17,13,14.798922004703211,3.4055972250372033,0,13,0,0,0
Bulgaria,m,15,978013.6531605213,19,20.915351431165675,-1.915351431165674,-27,18.024999999999956,22.94357429961216,2.028222868446483,0,18.024999999999956,0,0,0
Bulgaria,m,20,928089.2909037084,23,23.703660751346767,-0.7036607513467685,-29,19,25.91558975761174,2.2119290062649735,0,19,0,0,0
Bulgaria,m,25,1207476.5366914,26,28.349027091426557,-2.3490270914265583,-33,20,30.904782295217142,2.555755203790584,0,20,0,0,0
Bulgaria,m,30,1486448.4704531624,38,38.961325675956566,-0.9613256759565685,-35,26,44.96718647874449,6.00586080278792,0,26,0,0,0
Bulgaria,m,35,1488846.3157426645,69,59.695875722886136,9.304124277113866,-33,43,71.92054524611785,12.224669523231722,0,43,0,0,0
Bulgaria,m,40,1650824.7899107852,114,95.61671650008728,18.383283499912714,-31,61,115.94577672631611,20.329060226228833,0,61,23.04898820826578,39,6
Bulgaria,m,45,1624652.6553854086,177,178.00572787824336,-1.0057278782433627,-69,62.024999999999956,187.98891745380388,9.983189575560502,0,62.024999999999956,14.287951182484363,25,2
Bulgaria,m,50,1442921.799256554,291,245.33532282655813,45.66467717344187,-33,122.02499999999995,292.89754957503044,47.56222674847229,1,122.02499999999995,14.085771685609089,27,1
Bulgaria,m,55,1381340.6980431816,400,386.04741694035545,13.952583059644525,-89,109,414.9199761165567,28.872559176201236,6,109,42.46547334169286,74,7
Bulgaria,m,60,1317798.5605106375,553,510.2120629509492,42.787937049050825,-78,150.02499999999995,561.1906873734293,50.97862442248018,4,150.02499999999995,145.6404980044075,258.025,23.975000000000136
Bulgaria,m,65,1203788.3620703837,783,694.4002489484667,88.59975105153327,-46,217.02499999999998,783.6728253736946,89.27257642522787,11,217.02499999999998,79.90405987694078,144,12
Bulgaria,m,70,1049581.0525129442,991,841.2999682346601,149.70003176533987,-1.0499999999997272,292.025,991,149.70003176533987,24.975000000000136,292.025,131.12366038508762,227,31.975000000000136
