"IFRs","Cases","Result","Country"
"Modi1_Brazil","Levin3",0.00323082597560782,"Spain"
"Modi2_Brazil","Levin3",0.00309998549183716,"Spain"
"Modi3_Brazil","Levin3",0.00289317045549936,"Spain"
"Modi1_USA","Levin3",0.00304500187405731,"Spain"
"Modi2_USA","Levin3",0.00293934896946197,"Spain"
"Modi3_USA","Levin3",0.00272015530825003,"Spain"
"Levin","PrItaly",0.0177821581932049,"Spain"
"Verity","PrItaly",0.0131604643632611,"Spain"
"Salje","PrItaly",0.011427545518604,"Spain"
"Modi1","PrItaly",0.00861240958459307,"Spain"
"Modi2","PrItaly",0.00854213448086999,"Spain"
"Modi3","PrItaly",0.00764669867481096,"Spain"
"Levin_p25","PrItaly",0.0222276977415062,"Spain"
"Levin_m25","PrItaly",0.0133366186449037,"Spain"
"Verity_p25","PrItaly",0.0164505804540763,"Spain"
"Verity_m25","PrItaly",0.0098703482724458,"Spain"
"Salje_p25","PrItaly",0.014284431898255,"Spain"
"Salje_m25","PrItaly",0.008570659138953,"Spain"
"Verity_Germany","PrItaly",0.00980284278383492,"Spain"
"Verity_Spain","PrItaly",0.00910049678783361,"Spain"
"Verity_Italy","PrItaly",0.0094155843088291,"Spain"
"Verity_France","PrItaly",0.00890767237424636,"Spain"
"Verity_Sweden","PrItaly",0.0100125278248583,"Spain"
"Verity_China","PrItaly",0.0131604643632611,"Spain"
"Verity_Japan","PrItaly",0.00798773897974469,"Spain"
"Verity_Colombia","PrItaly",0.0101547902967184,"Spain"
"Verity_Brazil","PrItaly",0.0101404232568028,"Spain"
"Verity_USA","PrItaly",0.00973683477615059,"Spain"
"Salje_Germany","PrItaly",0.0123465636980088,"Spain"
"Salje_Spain","PrItaly",0.0118808569502711,"Spain"
"Salje_Italy","PrItaly",0.0124517980477952,"Spain"
"Salje_France","PrItaly",0.011427545518604,"Spain"
"Salje_Sweden","PrItaly",0.0135960001530551,"Spain"
"Salje_China","PrItaly",0.0173407333264662,"Spain"
"Salje_Japan","PrItaly",0.00985557849649621,"Spain"
"Salje_Colombia","PrItaly",0.0126695081528119,"Spain"
"Salje_Brazil","PrItaly",0.0120332802489695,"Spain"
"Salje_USA","PrItaly",0.0121187898502122,"Spain"
"Modi1_Germany","PrItaly",0.00887855915487236,"Spain"
"Modi2_Germany","PrItaly",0.00876285127976351,"Spain"
"Modi3_Germany","PrItaly",0.00788944002823538,"Spain"
"Modi1_Spain","PrItaly",0.00827566478731527,"Spain"
"Modi2_Spain","PrItaly",0.00819373811004484,"Spain"
"Modi3_Spain","PrItaly",0.00735128114272942,"Spain"
"Modi1_Italy","PrItaly",0.00861240958459307,"Spain"
"Modi2_Italy","PrItaly",0.00854213448086999,"Spain"
"Modi3_Italy","PrItaly",0.00764669867481096,"Spain"
"Modi1_France","PrItaly",0.00805051344417065,"Spain"
"Modi2_France","PrItaly",0.0079557513941231,"Spain"
"Modi3_France","PrItaly",0.00715872612673603,"Spain"
"Modi1_Sweden","PrItaly",0.00923441328299144,"Spain"
